task,dataset,network_type,network_depth,network_activation,accuracy_pct,accuracy,loss,lr,global_step,datetime
elementwise_add,many_hot,dense,1,tanh,75.0%,0.75006837,0.25000614,0.0010000016,30000,2018-11-02 19:45:34
equality,many_hot,dense,1,tanh,0.0%,0.0009042969,0.26025617,0.0010000016,1000,2018-11-02 19:53:02
logical_and,many_hot,dense,1,tanh,10.0%,0.09810937,0.081819125,0.001,1000,2018-11-02 20:00:39
logical_or,many_hot,dense,1,tanh,100.0%,1.0,9.2883245e-05,0.0010000006,30000,2018-11-02 20:05:05
logical_xor,many_hot,dense,1,tanh,0.0%,0.0009941406,0.2607388,0.001,1000,2018-11-02 20:12:51
reduce_sum,random,dense,1,relu,30.0%,0.29575,44.956524,0.009999993,30000,2018-11-02 20:15:28
reduce_max,random,dense,1,relu,100.0%,0.9995,0.002062534,0.009999993,1000,2018-11-02 20:15:42
concat,random,dense,1,relu,58.0%,0.5783584,0.16696428,0.0010000006,30000,2018-11-02 20:18:15
dot,random,dense,1,relu,3.0%,0.03425,13.770893,0.1,1000,2018-11-02 20:21:19
elementwise_mul,random,dense,1,relu,48.0%,0.47632423,0.09832419,0.01,1000,2018-11-02 20:24:01
one_hot_sum,random,dense,1,relu,99.0%,0.99253124,0.0042500026,0.01,100,2018-11-02 20:24:08
elementwise_add,random,dense,1,relu,58.0%,0.57608986,0.33298177,0.01,1000,2018-11-02 20:26:43
equality,random,dense,1,relu,100.0%,0.99782616,0.00019805074,0.01,100,2018-11-02 20:27:03
logical_and,random,dense,1,relu,100.0%,1.0,1.2305335e-11,0.01,1000,2018-11-02 20:27:18
logical_or,random,dense,1,relu,100.0%,1.0,2.2854385e-11,0.01,1000,2018-11-02 20:27:28
logical_xor,random,dense,1,relu,100.0%,0.9969668,0.00026086366,0.01,100,2018-11-02 20:27:42
reduce_sum,random_pos,dense,1,relu,36.0%,0.35825,41.360573,0.009999993,30000,2018-11-02 20:29:49
reduce_max,random_pos,dense,1,relu,100.0%,1.0,0.0018441629,0.009999993,1000,2018-11-02 20:30:01
concat,random_pos,dense,1,relu,58.0%,0.5796475,0.16688769,0.0010000006,30000,2018-11-02 20:32:23
dot,random_pos,dense,1,relu,4.0%,0.03575,13.639428,100.0,1000,2018-11-02 20:34:38
elementwise_mul,random_pos,dense,1,relu,47.0%,0.47455272,0.099208735,0.01,1000,2018-11-02 20:37:59
one_hot_sum,random_pos,dense,1,relu,99.0%,0.99335545,0.0042003803,0.01,100,2018-11-02 20:38:13
elementwise_add,random_pos,dense,1,relu,58.0%,0.5758144,0.33411583,0.01,1000,2018-11-02 20:40:43
equality,random_pos,dense,1,relu,100.0%,0.9978145,0.00019838092,0.01,100,2018-11-02 20:40:56
logical_and,random_pos,dense,1,relu,100.0%,1.0,1.9867953e-11,0.01,1000,2018-11-02 20:41:04
logical_or,random_pos,dense,1,relu,100.0%,1.0,9.3122255e-12,0.01,1000,2018-11-02 20:41:20
logical_xor,random_pos,dense,1,relu,100.0%,0.99788475,0.00019071782,0.01,100,2018-11-02 20:41:26
reduce_sum,one_hot,dense,1,relu,100.0%,1.0,1.7780027e-06,0.01,1000,2018-11-02 20:41:49
reduce_max,one_hot,dense,1,relu,100.0%,1.0,3.510461e-09,0.01,1000,2018-11-02 20:42:10
concat,one_hot,dense,1,relu,99.0%,0.9921875,0.007855778,0.0001,1000,2018-11-02 20:43:34
dot,one_hot,dense,1,relu,99.0%,0.99375,0.0062961164,0.001,700,2018-11-02 20:45:16
elementwise_mul,one_hot,dense,1,relu,100.0%,0.9998574,0.0005799592,0.001,100,2018-11-02 20:45:36
one_hot_sum,one_hot,dense,1,relu,100.0%,0.9958574,0.004488447,0.001,100,2018-11-02 20:45:56
elementwise_add,one_hot,dense,1,relu,99.0%,0.9922461,0.0063448143,0.01,1000,2018-11-02 20:48:00
equality,one_hot,dense,1,relu,100.0%,0.99990237,9.76582e-05,0.01,1000,2018-11-02 20:48:21
logical_and,one_hot,dense,1,relu,100.0%,0.99992967,7.621816e-05,0.01,100,2018-11-02 20:48:40
logical_or,one_hot,dense,1,relu,99.0%,0.9918672,0.0065261004,0.01,1000,2018-11-02 20:49:01
logical_xor,one_hot,dense,1,relu,99.0%,0.9911484,0.006908849,0.01,800,2018-11-02 20:49:22
reduce_sum,many_hot,dense,1,relu,100.0%,1.0,1.5720054e-05,0.10000009,30000,2018-11-02 20:55:52
reduce_max,many_hot,dense,1,relu,99.0%,0.9915,0.003561211,0.001,1000,2018-11-02 20:58:58
concat,many_hot,dense,1,relu,100.0%,0.9981035,0.0019438253,0.0010000006,30000,2018-11-02 21:07:21
dot,many_hot,dense,1,relu,4.0%,0.03725,11.034188,0.0010000006,30000,2018-11-02 21:13:34
elementwise_mul,many_hot,dense,1,relu,96.0%,0.9607148,0.039354574,0.0010000016,30000,2018-11-02 21:21:23
one_hot_sum,many_hot,dense,1,relu,99.0%,0.9914297,0.0078953,0.0010000016,100,2018-11-02 21:22:03
elementwise_add,many_hot,dense,1,relu,99.0%,0.99414456,0.01178278,0.01,1000,2018-11-02 21:26:20
equality,many_hot,dense,1,relu,0.0%,0.0043144533,0.26263946,0.001,1000,2018-11-02 21:30:59
logical_and,many_hot,dense,1,relu,95.0%,0.9530078,0.047056638,0.0010000006,30000,2018-11-02 21:38:56
logical_or,many_hot,dense,1,relu,6.0%,0.064625,0.06626474,0.0010000006,30000,2018-11-02 21:47:07
logical_xor,many_hot,dense,1,relu,0.0%,0.0038515625,0.26011768,0.0010000006,30000,2018-11-02 21:55:22
reduce_sum,random,dense,1,sigmoid,4.0%,0.03875,76.06108,0.009999993,30000,2018-11-02 21:58:20
reduce_max,random,dense,1,sigmoid,100.0%,1.0,0.0020434489,0.009999993,1000,2018-11-02 21:58:28
concat,random,dense,1,sigmoid,56.0%,0.55960643,0.17072691,0.009999993,30000,2018-11-02 22:01:15
dot,random,dense,1,sigmoid,4.0%,0.035,14.000374,0.001,1000,2018-11-02 22:04:13
elementwise_mul,random,dense,1,sigmoid,46.0%,0.45867577,0.10573291,0.1,1000,2018-11-02 22:07:01
one_hot_sum,random,dense,1,sigmoid,100.0%,0.99600196,0.00400252,0.1,500,2018-11-02 22:07:12
elementwise_add,random,dense,1,sigmoid,46.0%,0.46224415,0.35832736,0.009999993,30000,2018-11-02 22:10:05
equality,random,dense,1,sigmoid,100.0%,1.0,0.0025213675,0.009999993,1000,2018-11-02 22:10:20
logical_and,random,dense,1,sigmoid,100.0%,1.0,0.0024846417,0.009999993,1000,2018-11-02 22:10:31
logical_or,random,dense,1,sigmoid,100.0%,1.0,0.0025178597,0.009999993,1000,2018-11-02 22:10:38
logical_xor,random,dense,1,sigmoid,100.0%,1.0,0.0025046787,0.009999993,1000,2018-11-02 22:10:55
reduce_sum,random_pos,dense,1,sigmoid,2.0%,0.01575,76.20406,1.0,1000,2018-11-02 22:13:45
reduce_max,random_pos,dense,1,sigmoid,100.0%,0.997,0.0030600491,1.0,12200,2018-11-02 22:15:07
concat,random_pos,dense,1,sigmoid,56.0%,0.56124413,0.17017156,0.009999993,30000,2018-11-02 22:18:01
dot,random_pos,dense,1,sigmoid,3.0%,0.03325,13.8327055,0.009999993,1000,2018-11-02 22:20:54
elementwise_mul,random_pos,dense,1,sigmoid,46.0%,0.45877343,0.10613809,0.1,1000,2018-11-02 22:24:41
one_hot_sum,random_pos,dense,1,sigmoid,100.0%,0.99603903,0.0039699837,0.1,300,2018-11-02 22:24:47
elementwise_add,random_pos,dense,1,sigmoid,46.0%,0.46157813,0.35676655,0.009999993,30000,2018-11-02 22:28:01
equality,random_pos,dense,1,sigmoid,100.0%,1.0,0.0024895356,0.009999993,1000,2018-11-02 22:28:24
